[2025-06-28 22:12:23.086] [info]  DiscordSplash.signalReady
[2025-06-28 22:12:23.132] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-28 22:12:23.133] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-28 22:12:23.134] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-28 22:12:23.135] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-28 22:12:23.136] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-28 22:12:23.136] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-28 22:12:23.137] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-28 22:12:23.138] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-28 22:12:23.138] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-28 22:12:23.144] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-28 22:12:23.150] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-28 22:12:23.151] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-28 22:12:23.174] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-28 22:12:23.174] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-28 22:12:23.745] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-28 22:12:23.746] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-28 22:12:24.085] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-28 22:12:24.547] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-28 22:12:24.549] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-28 22:12:24.653] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-06-28 22:12:24.654] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-06-28 22:12:24.657] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
